country,year,primary_energy_consumption,oil_production,gas_production,coal_production,renewables_consumption,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity
Germany,1972,3770.22265625,83.72437286376953,177.1857452392578,1672.1326904296875,39.86663055419922,0.0,0.0,13.205894470214844,9.522000312805176
Germany,1973,3987.354248046875,77.94425964355469,198.37451171875,1646.1097412109375,45.595008850097656,0.0,0.0,15.229461669921877,12.105999946594238
Germany,1974,3918.02734375,72.62934875488281,206.03700256347656,1637.155029296875,52.35808944702149,0.0,0.0,17.638132095336914,14.458999633789062
Germany,1975,3764.56787109375,67.41911315917969,191.2519989013672,1652.68212890625,50.90117645263672,0.0,0.0,17.059123992919922,24.13800048828125
Germany,1976,4016.904541015625,64.86051177978516,197.20974731445312,1669.91650390625,42.45619201660156,0.0,0.0,13.84683322906494,29.53300094604492
Germany,1977,4007.190673828125,63.59283828735352,196.0660095214844,1626.1119384765625,52.73490905761719,0.0,0.0,17.58216094970703,41.255001068115234
Germany,1978,4152.1767578125,59.6037483215332,202.7124938964844,1616.6312255859375,55.12328338623047,0.0,0.0,18.362234115600582,43.87300109863281
Germany,1979,4382.90869140625,56.21942138671875,203.00474548339844,1663.485107421875,55.5761604309082,0.0,0.0,18.383686065673828,52.06399917602539
Germany,1980,4239.232421875,59.17184829711914,184.81549072265625,1604.1072998046875,59.114383697509766,0.0,0.0,19.06914329528809,55.5890007019043
Germany,1981,4107.2333984375,57.105262756347656,189.32574462890625,1731.166259765625,60.95677947998047,0.0,0.0,19.9146728515625,65.53299713134766
Germany,1982,3962.49072265625,53.93236541748047,166.20249938964844,1738.71630859375,60.44904708862305,0.0,0.0,19.737993240356445,74.4260025024414
Germany,1983,4018.511474609375,52.02862930297852,183.7130126953125,1642.87060546875,56.79106521606445,0.0,0.0,18.71201705932617,78.06300354003906
Germany,1984,4166.99072265625,50.89971923828125,180.52549743652344,1662.827880859375,56.46523666381836,0.0,0.0,18.47917366027832,104.31700134277344
Germany,1985,4290.32861328125,52.02862930297852,171.07699584960938,1728.615478515625,53.47272872924805,0.0,0.0,17.400650024414062,138.64100646972656
Germany,1986,4254.67578125,51.39405059814453,140.15150451660156,1669.0494384765625,56.5777702331543,0.0,0.0010000000474974,18.57198143005371,130.48899841308594
Germany,1987,4291.17822265625,47.58657455444336,157.3054962158203,1616.0662841796875,61.03208160400391,0.0,0.0020000000949949,20.34296989440918,141.72500610351562
Germany,1988,4305.765625,50.13727188110352,146.38426208496094,1603.598876953125,60.91668701171875,0.0,0.0080000003799796,20.079391479492188,156.82000732421875
Germany,1989,4260.189453125,48.15943908691406,153.20249938964844,1530.111083984375,56.21570587158203,0.0,0.0260000005364418,18.243728637695312,161.67100524902344
Germany,1990,4192.6416015625,45.55823516845703,150.2462615966797,1454.181884765625,52.83715057373047,0.0,0.0700000002980232,17.43000030517578,152.47000122070312
Germany,1991,4090.642822265625,45.047508239746094,153.95281982421875,1234.53076171875,49.03020858764648,0.0,0.2199999988079071,14.890000343322754,147.22999572753906
Germany,1992,4009.337646484375,40.08124542236328,156.15968322753906,1135.4910888671875,57.4659538269043,0.0,0.2899999916553497,17.399999618530273,158.8000030517578
Germany,1993,3991.526611328125,38.70278930664063,155.40354919433594,1021.6923828125,59.58990859985352,0.0,0.6700000166893005,17.8799991607666,153.27999877929688
Germany,1994,3954.172119140625,37.16267395019531,162.92095947265625,941.4317016601562,64.877197265625,0.0,1.4299999475479126,19.93000030517578,150.6999969482422
Germany,1995,3974.795166015625,37.43384552001953,168.1171875,919.3460693359376,70.82093811035156,0.0,1.7100000381469729,21.780000686645508,153.08999633789062
Germany,1996,4105.845703125,37.7449951171875,182.06173706054688,860.4739990234375,65.19486236572266,0.0099999997764825,2.0799999237060547,21.959999084472656,160.02000427246094
Germany,1997,4053.18701171875,35.53042984008789,178.96685791015625,824.1912841796875,69.0156021118164,0.0099999997764825,3.0299999713897705,17.360000610351562,170.3300018310547
Germany,1998,4019.631591796875,37.43384552001953,174.86965942382812,756.0475463867188,74.81423950195312,0.0099999997764825,4.590000152587891,17.219999313354492,161.63999938964844
Germany,1999,3963.560302734375,34.895957946777344,186.7831878662109,735.9454956054688,83.39287567138672,0.0199999995529651,5.53000020980835,19.64999961853028,170.0
Germany,2000,3988.17919921875,40.6015739440918,176.6544952392578,706.086669921875,108.74981689453124,0.0,9.350000381469728,21.729999542236328,169.61000061035156
Germany,2001,4062.799072265625,41.15375518798828,178.3338165283203,677.528076171875,113.21721649169922,0.1000000014901161,10.460000038146973,22.729999542236328,171.3000030517578
Germany,2002,4011.722900390625,43.69145202636719,177.86782836914062,679.4618530273438,134.41940307617188,0.2000000029802322,15.859999656677246,23.1200008392334,164.83999633789062
Germany,2003,4010.470947265625,45.87152099609375,185.15663146972656,672.2003784179688,138.84596252441406,0.3100000023841858,19.09000015258789,18.31999969482422,165.05999755859375
