year,oil_production,gas_production,coal_production
1957,10270.7666015625,3880.7158203125,13893.7578125
1958,10527.9765625,4174.046875,14332.8076171875
1959,11360.8583984375,4659.67578125,14854.89453125
1960,12240.8427734375,5072.32373046875,15475.7998046875
1961,13029.3916015625,5449.4345703125,14579.5341796875
1962,14133.671875,5961.99462890625,14930.7509765625
1963,15164.04296875,6523.50390625,15383.5947265625
1964,16376.73828125,7127.6064453125,16064.466796875
1965,18231.08203125,7638.4853515625,16381.5576171875
1966,19796.810546875,8219.0380859375,16608.72265625
1967,21238.462890625,8845.134765625,16018.826171875
1968,23170.03125,9675.5732421875,16464.76171875
1969,24940.333984375,10625.7578125,16797.7890625
1970,27433.8828125,9760.8798828125,17469.681640625
1971,29000.791015625,10441.1826171875,17310.953125
1972,30649.970703125,10955.470703125,17251.29296875
1973,33445.12109375,11482.6953125,17558.373046875
1974,33519.6796875,11725.09765625,17712.75390625
1975,31837.767578125,11750.0966796875,18767.677734375
1976,34590.73828125,12256.7734375,19299.517578125
1977,35798.8671875,12774.1552734375,19885.986328125
1978,36124.16796875,13206.6005859375,20194.787109375
1979,37653.04296875,14097.0166015625,21380.146484375
1980,35949.5859375,14283.337890625,20968.07421875
1981,33858.3359375,14530.98046875,21445.23046875
1982,32518.732421875,14597.4833984375,22204.41015625
1983,32122.47265625,14728.052734375,22137.171875
1984,32752.21875,15988.6123046875,23105.615234375
1985,32465.681640625,16410.33984375,24276.4609375
1986,34069.390625,16834.78125,24852.248046875
1987,34148.0859375,17678.57421875,25321.212890625
1988,35607.5703125,18457.763671875,25936.24609375
1989,36037.48046875,19096.994140625,26394.40234375
1990,36726.77734375,19697.1640625,26344.89453125
1991,36627.70703125,19959.6875,25628.7578125
1992,37157.99609375,20018.33984375,25572.3828125
1993,37105.15625,20246.296875,24802.193359375
1994,37619.203125,20542.515625,25371.556640625
1995,38135.515625,20883.5,26146.544921875
1996,39151.23828125,21899.962890625,26502.8359375
1997,40023.1953125,21882.970703125,26894.830078125
1998,41034.703125,22023.701171875,26412.43359375
1999,40104.6875,23102.75,26421.25390625
2000,41796.28515625,24011.673828125,26812.115234375
2001,41854.5,24583.935546875,27948.263671875
2002,41349.2578125,25156.048828125,28287.12109375
2003,43184.2265625,26056.537109375,30361.0625
2004,45349.1484375,26944.16796875,32984.90234375
2005,45735.10546875,27582.2265625,35064.484375
2006,46100.17578125,28520.126953125,36829.42578125
2007,46004.73828125,29275.634765625,38453.0078125
2008,46497.7890625,30327.169921875,39718.609375
2009,45339.0390625,29408.00390625,39704.2734375
2010,46236.66015625,31447.28125,41832.45703125
2011,46622.3203125,32640.677734375,44787.50390625
2012,47892.4296875,33416.98046875,45246.11328125
2013,47965.85546875,33702.98828125,45969.5859375
2014,49090.75390625,34451.48828125,45840.07421875
2015,50735.2890625,35151.94921875,44567.7421875
2016,50937.78125,35535.94921875,42191.58984375
2017,51008.15625,36843.31640625,43193.328125
2018,52229.09765625,38559.54296875,45150.984375
2019,52156.90234375,39725.4375,45802.57421875
2020,48711.66015625,38669.66015625,43486.125
2021,49280.45703125,40465.74609375,45359.484375
2022,51482.99609375,40503.56640625,48548.546875
2023,52501.9140625,40642.18359375,50074.296875
2024,52831.05078125,41244.515625,50618.328125
2025,,,
